STT	Vấn đề	Mô tả nội dung	Điểm cần chốt	Trạng thái	Ngày gửi yêu cầu	Nội dung VNA phản hồi	Nhóm phân hệ	Phân loại
68	Recalculate báo cáo nhiên liệu khi sửa ACARS multiplier	Khi sửa ACARS fuel multiplier theo Valid From–To đã qua, có cần tính lại báo cáo nhiên liệu đã phát hành hay chỉ cập nhật lần xem kế tiếp?	Khi sửa ACARS fuel multiplier theo Valid From-To đã qua, có recalculate báo cáo đã phát hành hay chỉ cập nhật lần xem kế tiếp?	Mở			PH3	Nghiệp vụ
69	Form giải trình Divert — 5 vai trò	Diversion Report có 5 vai trò (DSP/SUP/TBT/Duty Capt/Other) trong form giải trình Divert. Đề nghị xác nhận phân hệ chứa form (PH1 cảnh báo Divert hay PH3 báo cáo) và mẫu form chi tiết.	Form giải trình Divert (5 vai trò DSP/SUP/TBT/Duty Capt/Other) thuộc phân hệ nào và mẫu form chi tiết ra sao?	Mở			PH3	Nghiệp vụ
70	BCAO — mã reason nghỉ tàu và mã phân loại delay	BCAO có mã reason nghỉ tàu (BQ-bảo quản / MNT / A06 CHECK / A02 CHECK / Y8 / Standby / Line check kỹ thuật) và mã phân loại delay (Tech / Traffic / Wx / Chain / Other) kèm tỉ lệ %; cần codeset chuẩn hóa. Có AOG/Work Orders/ADD MEL theo AC REG (kèm CAT MEL A/B/C/D + DEADLINE + OPS LIMIT) — cấu trúc phụ lục kỹ thuật BCAO.	Codeset mã reason nghỉ tàu, mã phân loại delay, và cấu trúc phụ lục AOG/Work Orders/ADD MEL theo AC REG trong BCAO cụ thể là gì?	Mở			PH3	Nghiệp vụ
71	Danh sách sân bay đặc biệt và điều kiện chứng chỉ cơ trưởng	"Khái niệm ""sân bay đặc biệt"" đã được đề cập trong buổi 11/06 phần 2. Đề nghị cung cấp danh mục đầy đủ các sân bay đặc biệt và điều kiện chứng chỉ cơ trưởng theo từng sân bay."	Danh mục sân bay đặc biệt đầy đủ là gì, và điều kiện chứng chỉ cơ trưởng theo từng sân bay như thế nào?	Mở			PH4	Nghiệp vụ
72	Codeset AC_STATE — trạng thái tàu bay	Trong dữ liệu Netline có trường AC_STATE với mẫu giá trị R/O. Đề nghị cung cấp codeset đầy đủ trạng thái tàu bay (Ready/Out of Service/…) và ý nghĩa từng mã.	Codeset AC_STATE trong Netline gồm những giá trị nào và ý nghĩa từng trạng thái?	Mở			PH4	Nghiệp vụ
73	Trường AC_INDEX — ngữ nghĩa và lý do mẫu bằng 0	Trường AC_INDEX trong dữ liệu Netline có mẫu giá trị = 0. Đề nghị làm rõ ý nghĩa chỉ số AC_INDEX và lý do mẫu hiện tại đều bằng 0.	AC_INDEX trong Netline mang ngữ nghĩa gì, và vì sao mẫu dữ liệu hiện tại đều bằng 0?	Mở			PH4	Nghiệp vụ
74	Codeset AP_RESTRICTION — hạn chế sân bay theo tàu	Trường AP_RESTRICTION trong Netline mô tả hạn chế khai thác của tàu tại sân bay. Đề nghị cung cấp codeset đầy đủ và quy tắc áp dụng.	Codeset AP_RESTRICTION (hạn chế sân bay theo tàu) gồm những giá trị nào và quy tắc áp dụng ra sao?	Mở			PH4	Nghiệp vụ
75	FTP Mail CDL trong tab Tàu bay	"Trong tab Tàu bay (khả năng MEL/CDL) có nhắc cụm ""FTP Mail CDL"". Đề nghị xác nhận đây có đúng là viết tắt FTP và ý nghĩa nghiệp vụ của trường này."	FTP Mail CDL trong tab Tàu bay mang ý nghĩa gì, có đúng là viết tắt FTP không?	Mở			PH4	Nghiệp vụ
76	"Phần mềm ""pgepoid"" trong luồng performance factor"	"Trong khảo sát 08/06 §IV.8 có nhắc phần mềm tên ""pgepoid"" liên quan đến luồng performance factor. Đề nghị xác nhận tên đầy đủ phần mềm và vai trò trong nghiệp vụ."	"Phần mềm ""pgepoid"" tên đầy đủ là gì và vai trò trong luồng performance factor như thế nào?"	Mở			PH4	Nghiệp vụ
77	Định dạng thứ ba MEL Airbus	Ngoài hai định dạng MEL Airbus đã biết (FrameMaker+IXP và FODM 10.8), có nhắc tới định dạng thứ ba. Đề nghị xác nhận tên hệ thống/công cụ và lý do chọn.	Định dạng thứ ba của MEL Airbus là hệ thống/công cụ nào và lý do chọn ra sao?	Mở			PH4	Nghiệp vụ
78	Danh sách MEL item ảnh hưởng khai thác	"Trong buổi 17/06 có nhắc danh sách MEL item ""ảnh hưởng khai thác"" cần cảnh báo điều phái. Đề nghị cung cấp số lượng, tiêu chí lọc và file danh sách từ chị Nga."	"Số lượng và tiêu chí lọc danh sách MEL item ""ảnh hưởng khai thác"" là gì, và xin file danh sách đầy đủ?"	Mở			PH4	Nghiệp vụ
79	Hệ thống DDMS — Document & Data Management System	Trong buổi 17/06 có nhắc DDMS là hệ thống VNA đang nghiên cứu để số hóa MEL. Đề nghị cung cấp tên đầy đủ, tiến độ, khả năng export MEL số hóa và kế hoạch tích hợp với TOSS.	Hệ thống DDMS tên đầy đủ là gì, tiến độ hiện tại, khả năng export MEL số hóa và kế hoạch tích hợp TOSS ra sao?	Mở			PH4	Nghiệp vụ
80	FOEM (Flight Ops Engineering) — vai trò và bảng DOW	Liên quan đến nguồn cấp Dry Operating Weight (DOW), bộ phận FOEM (Flight Ops Engineering) cấp bảng DOW cho khai thác. Đề nghị làm rõ vai trò, phân biệt với FOE, cấu trúc bảng DOW và tần suất cập nhật.	Tên đầy đủ và vai trò của FOEM (Flight Ops Engineering) là gì, phân biệt với FOE ra sao, cấu trúc bảng DOW cấp ra và tần suất cập nhật?	Mở			PH4	Nghiệp vụ
81	Nguồn danh mục dịch vụ sân bay	Danh mục dịch vụ sân bay hiện đang được quản lý thủ công. Đề nghị làm rõ nguồn dữ liệu và quy trình cập nhật.	Nguồn danh mục dịch vụ sân bay và quy trình cập nhật hiện tại như thế nào?	Mở			PH4	Nghiệp vụ
82	Mô hình master NAIL → sub-NAIL	NAIL được nhắc trong buổi 11/06 phần 2 với cấu trúc master và sub. Đề nghị làm rõ định nghĩa, thời hạn hiệu lực và quy tắc kích hoạt.	Mô hình master NAIL → sub-NAIL có định nghĩa, thời hạn hiệu lực và quy tắc kích hoạt như thế nào?	Mở			PH4	Nghiệp vụ
83	Golden record + ánh xạ codeset loại tàu FIMS↔Netline	Rà 39 cột Netline vs 21 cột FIMS phát hiện chênh lệch dữ liệu thực tế (ví dụ VNA336 MTOW Netline 83.000 vs FIMS 93.000, lệch 10.000 kg cùng tàu). Cần SME W&B chốt nguồn gốc và quy tắc đối chiếu cho 14 nhóm trường (MTOW, Fuel/Tank capacity, Cargo/Max Payload…).	Đối với 14 nhóm trường master tàu bay (đặc biệt MTOW, Fuel/Tank capacity, Cargo/Max Payload), nguồn dữ liệu chuẩn là Netline hay FIMS, và quy tắc đối chiếu/cảnh báo lệch dữ liệu ra sao?	Mở			PH4	Nghiệp vụ
84	Cấu trúc DB AMOS cho MEL active	Cần biết bảng/trường nào trong AMOS lưu MEL item active, tàu áp dụng, trạng thái, và level tối đa AMOS kích hoạt (level 3 hay 4).	Bảng/trường cụ thể trong AMOS lưu MEL active là gì, và level tối đa AMOS kích hoạt là 3 hay 4?	Mở			PH4	Nghiệp vụ
85	"Format file MEL nhà sản xuất — Boeing ""FILMATER"""	"Boeing dùng định dạng ""FILMATER"" cho file MEL nhà sản xuất. Đề nghị xác nhận tên phần mềm/format chính xác và khả năng parse/import tự động."	"Tên phần mềm/format MEL Boeing chính xác có phải ""FILMATER"" không, và khả năng parse/import tự động ra sao?"	Đang xử lý			PH4	Nghiệp vụ
86	Mức chấp nhận bóc tách tự động MEL item code/tên	Trao đổi cho thấy mức bóc tách tự động item code/tên MEL đạt khoảng 60–70%. Đề nghị xác nhận ngưỡng chấp nhận và phần còn lại nhập tay.	Mức chấp nhận bóc tách tự động MEL item code/tên là bao nhiêu (60–70% hay khác), và phần còn lại xử lý như thế nào?	Mở			PH4	Nghiệp vụ
87	Chi tiết trường AMOS cho lịch bảo dưỡng	Cần chi tiết trường AMOS phục vụ lịch bảo dưỡng (service order/work order/task): tên trường, kiểu dữ liệu, cách lấy về.	Tên trường, kiểu dữ liệu và cách lấy chi tiết trường AMOS cho lịch bảo dưỡng (service order/work order/task) cụ thể ra sao?	Mở			PH4	Nghiệp vụ
88	Chi tiết Performance Factor	Cần làm rõ cấu trúc màn Performance Factor, danh sách trường, quy tắc cập nhật và liên kết Engine Water Wash.	Cấu trúc màn Performance Factor, danh sách trường, quy tắc cập nhật và liên kết Engine Water Wash như thế nào?	Mở			PH4	Nghiệp vụ
89	Taxi time chuẩn theo tàu × sân bay	Cần xác định Taxi time chuẩn theo tàu × sân bay (gợi ý + thời gian hiệu lực) thuộc danh mục Sân bay hay Quản lý tàu bay.	Taxi time chuẩn theo tàu × sân bay thuộc danh mục Sân bay hay Quản lý tàu bay, và quy tắc cập nhật ra sao?	Mở			PH4	Nghiệp vụ
90	Rủi ro FN_Carrier mới chưa khai báo AOG/MNT Code	Khi có FN_Carrier mới chưa khai báo AOG/MNT Code, có thể bỏ sót kỳ bảo dưỡng. Cần cơ chế phát hiện/cảnh báo.	Cơ chế phát hiện/cảnh báo khi FN_Carrier mới chưa khai báo AOG/MNT Code như thế nào?	Mở			PH4	Nghiệp vụ
91	perf_type MEL codeset cho các đội tàu	Mẫu MEL có perf_type 87975 / 87967 / 87X75. Cần codeset đầy đủ cho các đội tàu khác (A321 CEO/NEO, A350, A330, ATR…) và quy ước đặt mã. Đây là khóa con bên cạnh AC_SUBTYPE để xác định đúng bộ MEL áp dụng cho biến thể tàu.	Codeset perf_type MEL đầy đủ cho các đội tàu (A321 CEO/NEO, A350, A330, ATR…) và quy ước đặt mã là gì?	Mở			PH4	Nghiệp vụ
92	APM_ADJUST trong FIMS	Mẫu FIMS có APM_ADJUST = 0.7 ở VNA887 A350-941, rỗng các tàu khác. Đề nghị làm rõ bản chất (Aircraft Performance Model adjustment factor?) và quy tắc sử dụng.	APM_ADJUST trong FIMS mang ý nghĩa gì (Aircraft Performance Model adjustment factor?), và quy tắc sử dụng/cập nhật ra sao?	Mở			PH4	Nghiệp vụ
93	SUB_GROUP FIMS — trùng Fleet Grouping nghiệp vụ không	Mẫu FIMS có SUB_GROUP = F ở một số A321/A350. Đề nghị xác nhận có trùng với Fleet Grouping nghiệp vụ BR-422 (Cate1…Cate10) hay là phân nhóm riêng.	SUB_GROUP trong FIMS có trùng với Fleet Grouping nghiệp vụ Cate1…Cate10 hay là phân nhóm riêng?	Mở			PH4	Nghiệp vụ
94	AC_CATEGORY Netline — Jet/Turboprop hay Fleet Grouping	Netline có AC_CATEGORY giá trị J/T. Đề nghị xác nhận đây là codeset kỹ thuật (Jet/Turboprop) hay chính là Fleet Grouping nghiệp vụ BR-422.	AC_CATEGORY Netline (J/T) là codeset kỹ thuật (Jet/Turboprop) hay Fleet Grouping nghiệp vụ?	Mở			PH4	Nghiệp vụ
95	MEL airport restriction — loại penalty thứ 5	4/5 loại penalty MEL đã có ánh xạ cột MEL-78A (fuel factor; payload reduction; altitude cap; autopilot restriction). Loại 5 — airport restriction — không thấy cột rõ ràng trong 38 cột MEL-78A. Đề nghị làm rõ quản lý ở đâu.	Loại penalty thứ 5 (MEL airport restriction) được quản lý ở cột/bảng nào trong cấu trúc dữ liệu MEL?	Mở			PH4	Nghiệp vụ
96	Lớp Shortlist MEL (FOE)	FOE lọc các item ảnh hưởng khai thác (wind/fly level/fuel factor) đẩy qua Lido làm tham chiếu OFP — mô hình 3 lớp AMOS Master MEL → Shortlist MEL (FOE) → MEL trong OFP. Chưa có BR/FUNC PH4 nhắc Shortlist MEL FOE.	Lớp Shortlist MEL do FOE quản lý (giữa AMOS Master MEL và MEL trong OFP) có cần đưa vào BR/FUNC PH4 không, và quy tắc lọc cụ thể?	Mở			PH4	Nghiệp vụ
97	Cảnh báo phiên bản MEL khi master revision mới	Khi tàu đang khai thác có MEL active dựa trên phiên bản cũ trong khi master đã revision mới → cần cảnh báo re-validate. BR-424/BR-425/BR-426 chưa có BR/FUNC về cảnh báo phiên bản MEL.	Cơ chế cảnh báo phiên bản MEL re-validate khi master revision mới cụ thể như thế nào?	Mở			PH4	Nghiệp vụ
98	aos_action và aime trong MEL-78A	Mẫu MEL-78A có aos_action thấy w (warning?) hoặc a (alert/auto-manual?); aime rỗng đa số. Đề nghị làm rõ ngữ nghĩa.	Trường aos_action (w/a) và aime trong MEL-78A mang ý nghĩa gì?	Mở			PH4	Nghiệp vụ
99	Master MEL — bộ trường penalty + cấu trúc Section/page	Master MEL cần bổ sung vào BR-424: ≥10 trường penalty đo lường (p_tow, p_enrte_wt, p_lw, p_tcap, unit_weight, p_perf_corr, p_altitude, unit_vertical, p_speed_knots/mach, unit_speed, p_etops_circles, p_etops_critfuel_dc/dx); downgrade ICAO Item 10/18; downgrade thiết bị (tcas/fms/landing_ep/ats_service_type/other_eq); downgrade hạ cánh (auto_land_down/ils_down/gls_down/rnp_precision_down); hiệu lực eff_from/eff_till/action; cấu trúc Section P/0/1/2/3 + page-level effective date; 2 lớp raw + edited.	Master MEL có cần bổ sung bộ trường penalty (≥10 trường) + cấu trúc Section/page-level effective date + 2 lớp raw/edited không, và quy tắc xử lý ra sao?	Mở			PH4	Nghiệp vụ
100	ACARS — phạm vi tàu thuê (lessor) / K6 / XU-350	Dataset thực tế quan sát có tàu thuê (lessor), K6 (Jetstar Pacific), XU-350 (Cambodian reg., wet lease). Đề nghị xác nhận TOSS có xử lý/theo dõi không.	TOSS có xử lý/theo dõi tàu thuê (lessor), K6 (Jetstar Pacific), XU-350 (wet lease) không?	Mở			PH4	Nghiệp vụ
101	AC_CALLSIGN Netline + nhóm trường Netline rỗng	AC_CALLSIGN Netline rỗng toàn bộ ở mẫu — callsign quản lý ở đâu (master tàu bay hay phát sinh theo chuyến)? Đồng thời nhóm trường Netline rỗng toàn bộ (NOISE, RADIO, PHONE, STD_VERSION_ALT_1..4) có còn được dùng không?	AC_CALLSIGN Netline quản lý ở đâu, và các trường NOISE/RADIO/PHONE/STD_VERSION_ALT_1..4 (rỗng toàn bộ) có còn được dùng không?	Mở			PH4	Nghiệp vụ
102	Mô hình dữ liệu chi tiết: danh mục sân bay, Master MEL, công thức Tankering, tham số vận hành	Cần mô hình dữ liệu chi tiết cho bộ trường danh mục sân bay, Master MEL, công thức Tankering, và các tham số vận hành (PH4 §3.2).	Mô hình dữ liệu chi tiết cho danh mục sân bay, Master MEL, công thức Tankering, và tham số vận hành cụ thể như thế nào?	Mở			PH4	Nghiệp vụ
103	Hành vi OPS++ khi xử lý chuyến hậu tố D	Trong buổi 12/06 phần 2 đề cập OPS++ xử lý chuyến hậu tố D quay về ngày gốc. Đề nghị làm rõ hành vi cụ thể của OPS++ trong tình huống này.	Khi chuyến có hậu tố D bị giật về ngày gốc, OPS++ xử lý cụ thể như thế nào (giữ OFP cũ hay sinh OFP mới)?	Đang xử lý			PH5	Nghiệp vụ
104	Mã khu vực điều phái dùng cho phân quyền	Trong buổi 12/06 phần 2 nhắc đến các khu vực điều phái (Đông Nam Á / Hàn Quốc / Châu Âu / Châu Mỹ…) dùng cho phân quyền dữ liệu. Đề nghị cung cấp danh mục mã khu vực điều phái chuẩn.	Danh mục mã khu vực điều phái (ĐNA/Hàn/Âu/Mỹ…) dùng cho phân quyền dữ liệu là gì?	Mở			PH5	Nghiệp vụ
105	"Hệ thống ""Schedule Manager"" sinh tệp lịch bay"	"Trong buổi 19/06 có nhắc một hệ thống sinh tệp lịch bay 3 lần/ngày (bản ghi nghe chưa rõ, tạm gọi ""Schedule Manager""). Đề nghị xác nhận tên chính xác, vai trò trong luồng SSIM/ASM, và quan hệ với Sabre."	"Hệ thống ""Schedule Manager"" tên chính xác là gì, vai trò trong luồng SSIM/ASM và quan hệ với Sabre ra sao?"	Mở			PH5	Nghiệp vụ
106	Bốn nhóm thông tin hành khách từ Amadeus PSS	Trong buổi 19/06 có nhắc 4 nhóm thông tin hành khách từ Amadeus PSS với các số thứ tự (10, 11, 7, 8, 9) chưa thống nhất giữa các đoạn bản ghi. Đề nghị đối chiếu với bảng làm việc chung của bạn An để xác nhận số thứ tự chính xác.	Bốn nhóm thông tin hành khách từ Amadeus PSS có số thứ tự chính xác là bao nhiêu trong bảng làm việc chung?	Mở			PH5	Nghiệp vụ
107	Cơ chế duy trì dữ liệu gần nhất	Liên quan đến luồng dữ liệu giữa các hệ thống, đề nghị làm rõ cơ chế duy trì dữ liệu gần nhất (ảnh chụp định kỳ theo lịch hay cập nhật theo sự kiện).	Cơ chế duy trì dữ liệu gần nhất dùng ảnh chụp định kỳ hay theo sự kiện, và tần suất/độ trễ ra sao?	Mở			PH5	Nghiệp vụ
108	Kiểm chứng nguồn dữ liệu hành khách (PSS/DCS)	Trước khi dùng dữ liệu hành khách để ra quyết định nối chuyến, cần xác nhận đây là dữ liệu thời gian thực hay bản sao có độ trễ.	Nguồn dữ liệu hành khách (PSS/DCS) là thời gian thực hay bản sao, và độ trễ tối đa cho phép trong quyết định nối chuyến?	Mở			PH5	Nghiệp vụ
109	Phương án khi Lido không cho tích hợp trực tiếp	Trong trường hợp hệ thống lập kế hoạch bay Lido không cho phép tích hợp trực tiếp, cần phương án dự phòng để TOSS lấy được dữ liệu cần thiết.	Phương án xử lý khi Lido không cho tích hợp trực tiếp là gì (proxy/file export/đối tác bên thứ ba)?	Mở			PH5	Nghiệp vụ
110	Giao diện trạng thái TOSS↔MO Plus cho Dispatch Release	Tương tác giữa TOSS và MO Plus liên quan đến luồng Dispatch Release sẽ chặn Captain's Release. Đề nghị làm rõ timing, payload, cơ chế thông báo, và cơ chế fail-safe.	Giao diện trạng thái TOSS↔MO Plus cho Dispatch Release có timing, payload, cơ chế thông báo và fail-safe như thế nào?	Mở			PH5	Nghiệp vụ
111	Đơn vị nhiên liệu trong điện văn ACARS	Đơn vị nhiên liệu trong điện văn có thể khác nhau theo giai đoạn hoặc từng tàu. Đề nghị cung cấp hệ số quy đổi chuẩn.	Đơn vị nhiên liệu trong điện văn ACARS theo giai đoạn và từng tàu, kèm hệ số quy đổi chuẩn?	Mở			PH5	Nghiệp vụ
112	Ranh giới Lido↔TOSS đối với NAIL	Cần xác định Lido đã tính NAIL vào dầu chưa, để TOSS tránh cảnh báo trùng.	Lido đã tính NAIL vào dầu chưa, và TOSS xử lý đến mức nào để tránh cảnh báo trùng?	Mở			PH5	Nghiệp vụ
113	Tích hợp SkyCheck — phép bay	Cần thông tin tiến độ phân tích nghiệp vụ và khả năng tận dụng kết quả của SkyCheck cho phép bay.	Tiến độ tích hợp SkyCheck (phép bay) hiện ra sao, và TOSS có thể tận dụng kết quả gì?	Mở			PH5	Nghiệp vụ
114	Lido push Standard Taxi Time	Cần xác định Lido có API/master cho phép push tự động Standard Taxi Time hay không.	Lido có cung cấp API/master để push Standard Taxi Time tự động không, và cơ chế cụ thể như thế nào?	Mở			PH5	Nghiệp vụ
115	"Hệ thống ""long"" phân tích QAR/QAI"	"Trong buổi 11/06 phần 2 có nhắc hệ thống ""long"" phân tích QAR/QAI. Đề nghị làm rõ tên đầy đủ và quan hệ với QAI."	"Hệ thống ""long"" tên đầy đủ là gì và quan hệ với QAR/QAI ra sao?"	Mở			PH5	Nghiệp vụ
116	Cơ chế phối hợp TOSS↔MO Plus khi reset Confirm Release	Khi điều phái reset Confirm Release, TOSS và MO Plus cần phối hợp về tín hiệu, payload, timing và cách thông báo trên UX.	Cơ chế phối hợp TOSS↔MO Plus khi reset Confirm Release (signal/payload/timing/notification UX) như thế nào?	Mở			PH5	Nghiệp vụ
117	"MO Plus ""latest by name"" hardcode"	"MO Plus hiện hardcode ""latest by name"" để chọn file mới nhất. Đề nghị phối hợp đội MO Plus điều chỉnh logic này khi TOSS đổi quy ước đặt tên."	"MO Plus có thể điều chỉnh logic ""latest by name"" hardcode để tương thích với TOSS không?"	Mở			PH5	Nghiệp vụ
118	Cảnh báo luồng Lido 4D	YCKT sheet-08 #24 đề cập luồng Lido 4D với adapter/parse/đẩy MO Plus. Đề nghị cung cấp danh mục cảnh báo cụ thể trong luồng này.	Danh mục cảnh báo trong luồng Lido 4D (adapter/parse/đẩy MO Plus) là gì?	Mở			PH5	Nghiệp vụ
119	Hành vi Lido khi chuyến mất hậu tố D	Khi chuyến mất hậu tố D và giật về ngày gốc, Lido có xin OFP cũ hay sinh OFP mới? Bản ghi ASR có nhiễu.	Khi chuyến mất hậu tố D giật về ngày gốc, Lido xin OFP cũ hay sinh OFP mới?	Mở			PH5	Nghiệp vụ
120	Phạm vi sân bay tích hợp A-CDM đợt đầu	Trong buổi 15/06 đề cập tích hợp A-CDM đợt đầu (ngoài HAN/TSN). Đề nghị xác nhận danh sách sân bay đợt đầu và phương án cho sân bay ngoài (dùng Amadeus/Flight Status).	Phạm vi sân bay tích hợp A-CDM đợt đầu gồm những đâu, và sân bay ngoài dùng Amadeus/Flight Status như thế nào?	Mở			PH5	Nghiệp vụ
121	Điện văn bổ sung gửi SITA	Ngoài điện chuyển động chuyến bay, TOSS có xử lý đầy đủ các điện văn bổ sung gửi SITA không?	Ngoài điện chuyển động chuyến bay, có điện văn bổ sung nào cần gửi SITA và TOSS có xử lý đầy đủ không?	Mở			PH5	Nghiệp vụ
122	BackPACK + pgepoid — khả năng RPA	Hiện dữ liệu BackPACK + pgepoid đang được nhập tay. Đề nghị xác nhận có hỗ trợ RPA / tự đọc dữ liệu không.	BackPACK + pgepoid có hỗ trợ RPA / tự đọc dữ liệu không, hay vẫn cần nhập tay?	Mở			PH5	Nghiệp vụ
123	Cụm dữ liệu phục vụ FMS thay thế	Cần xác nhận cụm dữ liệu phục vụ FMS thay thế đã sẵn có chưa và phương thức lấy.	Cụm dữ liệu phục vụ FMS thay thế đã sẵn có chưa, và lấy qua phương thức gì?	Mở			PH5	Nghiệp vụ
124	Cơ chế tích hợp AMOS → TOSS cho dữ liệu MEL active	Cần xác định cơ chế tích hợp AMOS → TOSS cho dữ liệu MEL active: API realtime, polling (tần suất?), hay batch export, và định dạng dữ liệu trao đổi.	Cơ chế tích hợp AMOS → TOSS dùng API realtime, polling hay batch export, và định dạng dữ liệu trao đổi cụ thể?	Mở			PH5	Nghiệp vụ
125	Format Lido Import file cho MEL	Cần mô tả chi tiết từng trường, kiểu dữ liệu của Lido Import file để mapping sang MEL data TOSS. Đề nghị cung cấp template.	Định dạng Lido Import file (trường, kiểu dữ liệu, mapping sang MEL data TOSS) cụ thể, kèm template?	Mở			PH5	Nghiệp vụ
126	Insert vs update trong XML Lido Import file	"Trong quy trình import MEL từ Lido có vấn đề ""insert vs update"". Đề nghị làm rõ nguyên nhân và cách xử lý."	"Vấn đề ""insert vs update"" trong XML Lido Import file phát sinh do đâu và cách xử lý trong quy trình import MEL?"	Mở			PH5	Nghiệp vụ
127	Hiện trạng Data Warehouse AMOS	Nhóm Hà Tần đã kết nối Data Warehouse AMOS. Đề nghị làm rõ dữ liệu đã lấy về gồm những gì, cấu trúc và mức đầy đủ.	Data Warehouse AMOS do nhóm Hà Tần kết nối có dữ liệu gì, cấu trúc và mức đầy đủ ra sao?	Mở			PH5	Nghiệp vụ
128	Tương thích ngược Lido Import file	Định dạng Lido Import file có thay đổi cấu trúc giữa các phiên bản không, và cơ chế TOSS thích ứng khi Lido nâng cấp?	Lido Import file có tương thích ngược giữa các phiên bản không, và TOSS thích ứng khi Lido nâng cấp ra sao?	Mở			PH5	Nghiệp vụ
129	Đồng bộ lịch bảo dưỡng OPS++ ↔ AMOS	Cần làm rõ cơ chế đồng bộ lịch bảo dưỡng giữa OPS++ và AMOS, chiều ghi ngược từ TOSS (nếu có), API, độ trễ và nguồn dữ liệu chuẩn.	Cơ chế đồng bộ lịch bảo dưỡng OPS++ ↔ AMOS (API/độ trễ/hệ thống of record) và chiều ghi ngược từ TOSS có không?	Mở			PH5	Nghiệp vụ
130	Cơ chế kích hoạt OFP rỗng tổ bay	Liên quan đến lỗi AVES gây OFP rỗng tổ bay: tần suất, nhật ký log, có thông báo riêng cho ADM/IT không?	Cơ chế kích hoạt OFP rỗng tổ bay (tần suất AVES lỗi, nhật ký log, có thông báo riêng cho ADM/IT) như thế nào?	Mở			PH5	Nghiệp vụ
131	Danh mục đầy đủ + mã hóa từng luồng trong 17 inbound + 2 outbound	Buổi 19/06 chỉ liệt kê các nhóm chính. Đề nghị cung cấp bảng Excel đầy đủ 24 luồng tích hợp kèm tên hệ thống nguồn, loại dữ liệu, mẫu điện đại diện. KS 23/06 đi sâu chi tiết một số luồng (sheet v77).	Bảng Excel đầy đủ 24 luồng tích hợp (17 inbound + 2 outbound) kèm tên hệ thống nguồn, loại dữ liệu, mẫu điện đại diện đề nghị cung cấp.	Đang xử lý			PH5	Nghiệp vụ
132	Định dạng dữ liệu Lufthansa Systems yêu cầu cho từng luồng	Cần định dạng chuẩn LHS yêu cầu cho từng luồng (kể cả mẫu điện FMM mà TOSS phải tự sinh) để TOSS sinh đúng tệp và truyền qua SFTP.	Định dạng dữ liệu Lufthansa Systems yêu cầu cho từng luồng (kể cả mẫu điện FMM) cụ thể là gì, có tài liệu chuẩn để gửi Viettel không?	Mở			PH5	Nghiệp vụ
133	Cấu trúc thư mục SFTP cho từng đầu dữ liệu	Cần cấu trúc thư mục chuẩn (folder structure) cho từng đầu dữ liệu kèm quy tắc đặt tên thư mục/tệp và mã hóa ký tự, làm tiền đề cấu hình máy chủ SFTP.	Cấu trúc thư mục SFTP chuẩn cho từng đầu dữ liệu (quy tắc đặt tên thư mục/tệp, mã hóa ký tự) như thế nào?	Mở			PH5	Nghiệp vụ
134	Mốc thời gian gửi và đồng bộ dữ liệu cho từng luồng	Cần mốc thời gian gửi và đồng bộ cho từng luồng inbound/outbound, kèm thời gian lưu trữ trên SFTP và thời điểm xóa tệp. KS 23/06 đã chốt một phần (PTM/PNL/ADL/Crew Assignment/SSIM/Pax Detail), các luồng khác vẫn pending.	Mốc thời gian gửi và đồng bộ dữ liệu cho từng luồng inbound/outbound, kèm thời gian lưu trữ trên SFTP và thời điểm xóa tệp, đề nghị làm rõ phần còn pending.	Đang xử lý			PH5	Nghiệp vụ
135	Phương án outbound cuối cùng từ OPS++	Outbound cuối cùng từ OPS++ qua ISB hay phối hợp ISB cùng data duplicate? Ảnh hưởng kiến trúc thu nạp dữ liệu phía TOSS. VNA chưa chốt với LHS.	Phương án outbound cuối cùng từ OPS++ là qua ISB hay phối hợp ISB cùng data duplicate?	Mở			PH5	Nghiệp vụ
136	Quy tắc sinh điện FMM (Fuel Monitoring Message)	TOSS phải tự sinh điện FMM vì không có nguồn sẵn. Cần định dạng điện, thời điểm gửi cụ thể (block-off hay thời điểm khác), nguồn dữ liệu nhiên liệu (Skypec/FIMS/phiếu dầu), và đơn vị nạp dầu bắt buộc trong dữ liệu nguồn.	Định dạng điện FMM, thời điểm gửi, nguồn dữ liệu nhiên liệu (Skypec/FIMS/phiếu dầu), và đơn vị nạp dầu bắt buộc trong dữ liệu nguồn cụ thể là gì?	Mở			PH5	Nghiệp vụ
137	Routing trung gian Sitatex (HDQONVN) vào NetLine cũ	Hiện chưa xác định routing trung gian Sitatex VNA forward điện MVA vào NetLine cũ. Đề nghị làm rõ.	Routing trung gian từ máy chủ Sitatex (HDQONVN) vào NetLine cũ trong chuỗi forward điện MVA là routing nào?	Mở			PH5	Nghiệp vụ
138	Kết nối TOSS vào ổ đĩa chia sẻ HDQONVN	Cần khảo sát hạ tầng để chốt phương án TOSS kết nối ổ đĩa chia sẻ HDQONVN (LTV, share-write hay share-read) giữa máy SITA và máy NetLine trong giai đoạn quá độ.	Cách kết nối TOSS vào ổ đĩa chia sẻ HDQONVN (LTV, share-write hay share-read) như thế nào?	Mở			PH5	Nghiệp vụ
